x 	 y 	 label 
64 	 108 	 F 
91 	 155 	 F 
137 	 119 	 F 
137 	 122 	 F 
26 	 18 	 F 
27 	 48 	 F 
140 	 116 	 F 
139 	 123 	 F 
137 	 120 	 F 
21 	 17 	 F 
138 	 122 	 F 
135 	 124 	 F 
134 	 125 	 F 
138 	 125 	 F 
20 	 17 	 F 
138 	 125 	 B 
135 	 122 	 B 
132 	 121 	 B 
133 	 123 	 B 
140 	 123 	 B 
138 	 121 	 B 
139 	 123 	 B 
60 	 125 	 B 
137 	 120 	 B 
137 	 123 	 B 
135 	 123 	 B 
139 	 123 	 B 
140 	 125 	 B 
140 	 124 	 B 
138 	 124 	 B 
142 	 126 	 B 
135 	 121 	 B 
135 	 121 	 B 
140 	 124 	 B 
138 	 125 	 B 
194 	 191 	 B 
137 	 125 	 B 
139 	 121 	 B 
134 	 125 	 B 
138 	 123 	 B 
135 	 123 	 B 
135 	 124 	 B 
138 	 124 	 B 
140 	 125 	 B 
139 	 123 	 B 
136 	 121 	 B 
140 	 125 	 B 
135 	 124 	 B 
136 	 125 	 B 
135 	 120 	 B 
136.96 	 126.28 	 R 
133.69 	 123.61 	 R 
131.39 	 121.75 	 R 
132.97 	 123.03 	 R 
137.18 	 126.46 	 R 
135.00 	 124.68 	 R 
 84.15 	  83.26 	 R 
136.58 	 125.97 	 R 
123.39 	 115.23 	 R 
 90.07 	  88.09 	 R 
133.91 	 123.80 	 R 
135.38 	 124.99 	 R 
134.18 	 124.01 	 R 
136.58 	 125.97 	 R 
138.16 	 127.26 	 R 
133.42 	 123.40 	 R 
137.67 	 126.86 	 R 
134.89 	 124.59 	 R 
136.47 	 125.88 	 R 
139.85 	 128.64 	 R 
 17.23 	  28.76 	 R 
133.20 	 123.21 	 R 
133.20 	 123.21 	 R 
137.67 	 126.86 	 R 
136.96 	 126.28 	 R 
202.94 	 180.02 	 R 
136.36 	 125.79 	 R 
135.60 	 125.17 	 R 
 32.52 	  41.22 	 R 
133.75 	 123.67 	 R 
134.55 	 124.32 	 R 
135.98 	 125.48 	 R 
134.18 	 124.01 	 R 
136.58 	 125.97 	 R 
133.91 	 123.80 	 R 
134.66 	 124.41 	 R 
136.47 	 125.88 	 R 
138.16 	 127.26 	 R 
136.58 	 125.97 	 R 
133.80 	 123.70 	 R 
 13.74 	  25.92 	 R 
138.16 	 127.26 	 R 
135.49 	 125.08 	 R 
134.66 	 124.41 	 R 
134.66 	 124.41 	 R 
134.55 	 124.32 	 R 
136.96 	 126.28 	 R 
135.76 	 125.30 	 R 
 13.14 	  25.43 	 R 
132.71 	 122.82 	 R 
