x 	 y 	 label 
7 	 1.975640e-02 	 F
9 	 2.359201e-01 	 F
16 	 5.824490e-03 	 F
18 	 1.369282e-03 	 F
21 	 5.843584e-01 	 F
29 	 3.075383e-03 	 F
30 	 2.464619e-03 	 F
34 	 1.202687e-03 	 F
35 	 1.027371e-03 	 F
41 	 4.721341e-02 	 F
43 	 7.081702e-04 	 F
44 	 1.016260e-04 	 F
46 	 1.036961e-04 	 F
47 	 3.103081e-04 	 F
49 	 2.314974e-02 	 F
51 	 3.600515e-04 	 F
61 	 1.759196e-04 	 F
63 	 2.128563e-02 	 F
64 	 4.516319e-03 	 F
66 	 2.318600e-04 	 F
69 	 3.603214e-02 	 F
77 	 3.493743e-05 	 F
83 	 2.495770e-02 	 F
89 	 3.442093e-02 	 F
91 	 1.729773e-04 	 F
98 	 3.607935e-02 	 F
102 	 1.153794e-02 	 F
113 	 1.249468e-02 	 F
121 	 3.159115e-02 	 F
1 	 0 	 B
2 	 1.847759e+00 	 B
3 	 1.851800e-01 	 B
4 	 5.924219e-02 	 B
5 	 2.373685e-01 	 B
6 	 8.407860e-02 	 B
8 	 2.565488e-04 	 B
10 	 1.354669e-02 	 B
11 	 8.786903e-03 	 B
12 	 1.093272e-03 	 B
13 	 8.713639e-04 	 B
14 	 6.723812e-04 	 B
15 	 2.821975e-03 	 B
17 	 1.303487e-03 	 B
19 	 9.189213e-04 	 B
20 	 4.025920e-03 	 B
22 	 2.281730e-03 	 B
23 	 2.063768e-03 	 B
24 	 2.947016e-03 	 B
25 	 1.283899e-03 	 B
26 	 7.415747e-02 	 B
27 	 8.810099e-04 	 B
28 	 1.861479e-03 	 B
31 	 1.113719e-04 	 B
32 	 1.102841e-03 	 B
33 	 4.844707e-04 	 B
36 	 2.446282e-04 	 B
37 	 6.916457e-04 	 B
38 	 8.771376e-04 	 B
39 	 9.282044e-04 	 B
40 	 5.596584e-04 	 B
42 	 7.026144e-04 	 B
45 	 9.681823e-05 	 B
48 	 7.015114e-05 	 B
50 	 3.901110e-04 	 B
52 	 1.502280e-04 	 B
53 	 5.997686e-04 	 B
54 	 3.425092e-04 	 B
55 	 6.411093e-06 	 B
56 	 2.100189e-04 	 B
57 	 1.968370e-04 	 B
58 	 1.936597e-04 	 B
59 	 2.750160e-04 	 B
60 	 5.012156e-04 	 B
62 	 4.408930e-04 	 B
65 	 3.893062e-04 	 B
67 	 4.170846e-04 	 B
68 	 2.214413e-05 	 B
70 	 3.216585e-04 	 B
71 	 4.272261e-04 	 B
72 	 6.216174e-05 	 B
73 	 1.357055e-04 	 B
74 	 1.471324e-05 	 B
75 	 1.884396e-04 	 B
76 	 1.608212e-04 	 B
78 	 3.835942e-05 	 B
79 	 2.375084e-04 	 B
80 	 2.073902e-04 	 B
81 	 3.901026e-04 	 B
82 	 3.132554e-04 	 B
84 	 2.978341e-04 	 B
85 	 3.677060e-04 	 B
86 	 1.834057e-04 	 B
87 	 1.809631e-05 	 B
88 	 3.748394e-04 	 B
90 	 1.092961e-04 	 B
92 	 1.039563e-04 	 B
93 	 3.508204e-05 	 B
94 	 1.759671e-04 	 B
95 	 1.714607e-04 	 B
96 	 4.852063e-04 	 B
97 	 1.757230e-04 	 B
99 	 1.996436e-04 	 B
100 	 1.229632e-04 	 B
101 	 2.360412e-04 	 B
103 	 1.414840e-04 	 B
104 	 1.543412e-05 	 B
105 	 5.385884e-05 	 B
106 	 3.189357e-04 	 B
107 	 3.488297e-05 	 B
108 	 3.952460e-05 	 B
109 	 1.368917e-04 	 B
110 	 1.917014e-04 	 B
111 	 5.987891e-05 	 B
112 	 5.864333e-05 	 B
114 	 4.188595e-04 	 B
115 	 1.950748e-04 	 B
116 	 1.419846e-04 	 B
117 	 3.280373e-05 	 B
118 	 3.175909e-04 	 B
119 	 4.738427e-05 	 B
120 	 1.317851e-04 	 B
