x 	 y 	 label 
7 	 6.295334e+01 	 F
9 	 4.441068e+01 	 F
16 	 1.317461e+01 	 F
18 	 1.089753e+01 	 F
21 	 1.396647e+02 	 F
29 	 1.213261e+02 	 F
30 	 1.498125e+01 	 F
34 	 1.263330e+01 	 F
35 	 9.971470e+00 	 F
41 	 1.454136e+02 	 F
43 	 1.227407e+01 	 F
44 	 1.021181e+01 	 F
46 	 9.603136e+00 	 F
47 	 1.257535e+01 	 F
49 	 1.449060e+02 	 F
51 	 1.296427e+01 	 F
61 	 1.250864e+01 	 F
63 	 1.315445e+02 	 F
64 	 3.954938e+01 	 F
66 	 1.533473e+01 	 F
69 	 1.121774e+02 	 F
77 	 1.170124e+01 	 F
83 	 1.062875e+02 	 F
89 	 1.205063e+02 	 F
91 	 1.255546e+01 	 F
98 	 9.534990e+01 	 F
102 	 5.405049e+01 	 F
113 	 1.116953e+02 	 F
121 	 9.853850e+01 	 F
1 	 0 	 B
2 	 2.121320e+00 	 B
3 	 3.431877e+00 	 B
4 	 1.520691e+00 	 B
5 	 4.404543e+00 	 B
6 	 2.500000e+00 	 B
8 	 1.184074e+01 	 B
10 	 5.700140e+01 	 B
11 	 1.865653e+01 	 B
12 	 1.670184e+01 	 B
13 	 1.357534e+01 	 B
14 	 1.631217e+01 	 B
15 	 1.616430e+01 	 B
17 	 1.441477e+01 	 B
19 	 1.116398e+01 	 B
20 	 1.457472e+01 	 B
22 	 1.188382e+01 	 B
23 	 1.136713e+01 	 B
24 	 1.624856e+01 	 B
25 	 1.413404e+01 	 B
26 	 9.561276e+01 	 B
27 	 9.383536e+00 	 B
28 	 1.063692e+01 	 B
31 	 9.851869e+00 	 B
32 	 1.233366e+01 	 B
33 	 9.183068e+00 	 B
36 	 8.683477e+00 	 B
37 	 1.113205e+01 	 B
38 	 1.300450e+01 	 B
39 	 1.115703e+01 	 B
40 	 7.673493e+00 	 B
42 	 1.556730e+01 	 B
45 	 9.984877e+00 	 B
48 	 1.066573e+01 	 B
50 	 1.019521e+01 	 B
52 	 1.237975e+01 	 B
53 	 1.555205e+01 	 B
54 	 1.486957e+01 	 B
55 	 1.355032e+01 	 B
56 	 1.217124e+01 	 B
57 	 1.302567e+01 	 B
58 	 1.039328e+01 	 B
59 	 1.108231e+01 	 B
60 	 1.397945e+01 	 B
62 	 1.225196e+01 	 B
65 	 1.319727e+01 	 B
67 	 1.542751e+01 	 B
68 	 1.115742e+01 	 B
70 	 1.331038e+01 	 B
71 	 1.206668e+01 	 B
72 	 1.380702e+01 	 B
73 	 1.243550e+01 	 B
74 	 1.067288e+01 	 B
75 	 8.963581e+00 	 B
76 	 8.337839e+00 	 B
78 	 1.232564e+01 	 B
79 	 1.070537e+01 	 B
80 	 1.503696e+01 	 B
81 	 1.456783e+01 	 B
82 	 9.849930e+00 	 B
84 	 9.777398e+00 	 B
85 	 1.062076e+01 	 B
86 	 1.155272e+01 	 B
87 	 1.029385e+01 	 B
88 	 1.298957e+01 	 B
90 	 1.291880e+01 	 B
92 	 5.649100e+00 	 B
93 	 1.240121e+01 	 B
94 	 1.019616e+01 	 B
95 	 1.183168e+01 	 B
96 	 1.113581e+01 	 B
97 	 9.904432e+00 	 B
99 	 8.152592e+00 	 B
100 	 1.137772e+01 	 B
101 	 7.799347e+00 	 B
103 	 8.387113e+00 	 B
104 	 1.477168e+01 	 B
105 	 1.246716e+01 	 B
106 	 9.523355e+00 	 B
107 	 1.088087e+01 	 B
108 	 8.800730e+00 	 B
109 	 9.099521e+00 	 B
110 	 9.923780e+00 	 B
111 	 1.350109e+01 	 B
112 	 1.338054e+01 	 B
114 	 1.307225e+01 	 B
115 	 1.174423e+01 	 B
116 	 9.017505e+00 	 B
117 	 1.100059e+01 	 B
118 	 1.186136e+01 	 B
119 	 1.221010e+01 	 B
120 	 1.041668e+01 	 B
