x 	 y 	 label 
-0.234599 	 0.555553 	 O 
-0.234599 	 0.555553 	 O 
-0.234599 	 0.555553 	 O 
0.467907 	 0.147662 	 O 
0.467907 	 0.147662 	 O 
-0.326778 	 0.068902 	 O 
-0.067461 	 0.069100 	 O 
0.057395 	 0.096271 	 O 
0.467907 	 0.147662 	 O 
0.467907 	 0.147662 	 O 
-0.326778 	 0.068902 	 O 
-0.101338 	 0.011244 	 O 
0.096822 	 -0.059689 	 O 
0.342963 	 -0.074575 	 O 
0.342963 	 -0.074575 	 O 
-0.291336 	 -0.726256 	 O 
-0.291336 	 -0.726256 	 O 
0.197016 	 -0.165454 	 O 
0.197016 	 -0.165454 	 O 
0.342963 	 -0.074575 	 O 
-0.291336 	 -0.726256 	 O 
-0.291336 	 -0.726256 	 O 
-0.291336 	 -0.726256 	 O 
-0.291336 	 -0.726256 	 O 
0.197016 	 -0.165454 	 O 
-0.003457 	 0.048039 	 B 
0.018088 	 -0.015971 	 B 
-0.101338 	 0.011244 	 B 
0.026268 	 -0.021780 	 B 
0.005583 	 -0.039704 	 B 
-0.051701 	 0.012689 	 B 
0.007982 	 -0.051583 	 B 
-0.030783 	 -0.008137 	 B 
-0.022452 	 0.016154 	 B 
-0.000239 	 -0.010173 	 B 
-0.028758 	 -0.033932 	 B 
-0.019283 	 0.051996 	 B 
-0.029719 	 -0.029396 	 B 
-0.000485 	 -0.042747 	 B 
-0.034252 	 0.010300 	 B 
-0.006432 	 -0.007540 	 B 
-0.020668 	 0.045669 	 B 
0.006800 	 0.049377 	 B 
0.010002 	 0.033343 	 B 
-0.019060 	 -0.011765 	 B 
-0.013260 	 0.024319 	 B 
-0.001342 	 0.020071 	 B 
0.003588 	 0.010220 	 B 
-0.051270 	 -0.006374 	 B 
-0.000158 	 -0.005082 	 B 
0.047841 	 -0.000455 	 B 
-0.003605 	 0.028793 	 B 
-0.021842 	 0.024660 	 B 
-0.007461 	 -0.004109 	 B 
-0.003987 	 0.018204 	 B 
-0.001098 	 -0.018152 	 B 
-0.017336 	 -0.030631 	 B 
-0.012268 	 0.009494 	 B 
-0.010387 	 -0.040640 	 B 
-0.009796 	 0.019938 	 B 
-0.071171 	 0.011371 	 B 
-0.027737 	 -0.035777 	 B 
-0.010728 	 0.009960 	 B 
-0.034018 	 0.022535 	 B 
-0.018576 	 -0.010839 	 B 
-0.008373 	 0.045684 	 B 
-0.048680 	 0.029958 	 B 
0.004611 	 0.017333 	 B 
0.004495 	 -0.006487 	 B 
-0.024754 	 0.024257 	 B 
0.016418 	 -0.009340 	 B 
0.019571 	 0.014786 	 B 
0.001006 	 0.049579 	 B 
-0.007869 	 -0.014680 	 B 
0.024550 	 -0.019097 	 B 
-0.008214 	 0.014494 	 B 
0.021827 	 -0.025252 	 B 
-0.025143 	 0.021492 	 B 
0.015657 	 0.050438 	 B 
0.008863 	 -0.016706 	 B 
-0.025327 	 0.011317 	 B 
0.018011 	 -0.013279 	 B 
0.010935 	 -0.013351 	 B 
-0.040930 	 0.019982 	 B 
0.008007 	 0.001860 	 B 
0.018900 	 -0.026799 	 B 
-0.046183 	 0.029643 	 B 
0.003156 	 -0.005407 	 B 
0.003236 	 -0.023421 	 B 
-0.046850 	 0.023876 	 B 
-0.003130 	 -0.008538 	 B 
0.064345 	 -0.020528 	 B 
-0.012992 	 -0.023873 	 B 
0.031749 	 -0.028049 	 B 
0.022081 	 -0.023332 	 B 
-0.034225 	 0.016472 	 B 
0.034427 	 -0.051372 	 B 
0.003757 	 -0.007470 	 B 
-0.038085 	 0.026670 	 B 
0.038338 	 -0.003021 	 B 
-0.020592 	 -0.014200 	 B 
-0.016842 	 0.029434 	 B 
-0.031998 	 -0.004342 	 B 
-0.018029 	 0.000483 	 B 
-0.014191 	 -0.010462 	 B 
0.021358 	 0.011201 	 B 
-0.002617 	 0.000395 	 B 
-0.006255 	 0.041565 	 B 
-0.004536 	 -0.004016 	 B 
-0.009394 	 -0.008307 	 B 
-0.009957 	 0.023798 	 B 
0.022352 	 -0.016417 	 B 
-0.016834 	 -0.040402 	 B 
-0.008076 	 0.045556 	 B 
-0.012118 	 -0.021661 	 B 
0.013393 	 -0.005524 	 B 
-0.028623 	 0.033336 	 B 
0.011644 	 -0.010564 	 B 
0.467907 	 0.147662 	 F 
0.057395 	 0.096271 	 F 
0.092751 	 -0.004352 	 F 
-0.134515 	 0.014817 	 F 
-0.037081 	 -0.003874 	 F 
0.160229 	 0.014858 	 F 
0.096822 	 -0.059689 	 F 
-0.042116 	 0.037752 	 F 
0.188402 	 -0.144396 	 F 
-0.067461 	 0.069100 	 F 
-0.032407 	 -0.011647 	 F 
-0.031661 	 -0.003742 	 F 
0.004289 	 -0.014669 	 F 
0.061762 	 0.019013 	 F 
0.342963 	 -0.074575 	 F 
0.241553 	 -0.001252 	 F 
-0.291336 	 -0.726256 	 F 
0.197016 	 -0.165454 	 F 
0.149534 	 -0.004772 	 F 
-0.233674 	 0.040299 	 F 
0.155306 	 -0.017404 	 F 
0.014488 	 0.020425 	 F 
-0.234599 	 0.555553 	 F 
-0.174382 	 0.028246 	 F 
0.081328 	 -0.016727 	 F 
0.033958 	 -0.019868 	 F 
-0.053047 	 -0.005521 	 F 
-0.326778 	 0.068902 	 F 
